title,placeUrl,website,status,subtitle,rating,reviewCount,category,address,phoneNumber,searchQuery,email,phoneFromWebsite
Healing Hospital- Best Super Speciality Hospital in Chandigarh,https://www.google.com/maps/place/Healing+Hospital-+Best+Super+Speciality+Hospital+in+Chandigarh/data=!4m7!3m6!1s0x390fedae06440b71:0x96f0b99e412a2f99!8m2!3d30.724709!4d76.7686647!16s%2Fg%2F1tdmhw5f!19sChIJcQtEBq7tDzkRmS8qQZ658JY,https://healinghospital.co.in/,Data found,,4.4,1866,Hospital,"16-17-18, 19-20-21-22, Piccadily Rd, Sub. City Center, Sector 34A, Sector 35, Chandigarh, 160022, India",+91 172 508 8883,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",info@healinghospital.co.in,+91 9464343434
Landmark Hospital,https://www.google.com/maps/place/Landmark+Hospital/data=!4m7!3m6!1s0x390fec518e2ffd49:0x74c6668fb5df82a1!8m2!3d30.712328!4d76.7704062!16s%2Fg%2F1tzlxbpp!19sChIJSf0vjlHsDzkRoYLftY9mxnQ,https://landmarkhospital.in/,Data found,,4.0,499,General hospital,"Site No I, II, Sector 33 Market Rd, opp. Terrace Garden, Sector 33C, Sector 33, Chandigarh, 160020, India",+91 172 402 7000,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",landmarkhospital@gmail.com,"(0172 402 7000, 921617070"
Guru Nanak Multispeciality C Hospital,https://www.google.com/maps/place/Guru+Nanak+Multispeciality+C+Hospital/data=!4m7!3m6!1s0x390fedb6cd005d07:0xc5c1b85beb0c5301!8m2!3d30.7255701!4d76.7623332!16s%2Fg%2F1q5bmd1sy!19sChIJB10AzbbtDzkRAVMM61u4wcU,http://chandigarh.gov.in/,Data found,,3.7,11,General hospital,"Dr.P.N.Chhuttani Memorial IMA Complex, 35B, Sector 35, Chandigarh, 160022, India",+91 172 260 1023,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",vigilance-chd@nic.in,8360817378
Santokh Hospital,https://www.google.com/maps/place/Santokh+Hospital/data=!4m7!3m6!1s0x390fedee591d7d53:0xcbb4e5fc949ed282!8m2!3d30.7478309!4d76.7490127!16s%2Fg%2F11ckvvlx8v!19sChIJU30dWe7tDzkRgtKelPzltMs,https://santokhhospital.com/,Data found,,4.7,1335,General hospital,"# 846, Dakshin Marg, Sector 38A, Sector 38, Chandigarh, 160014, India",+91 85588 66846,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",hospital@santokh.in,8 55 88 66 846
Eden Critical Care Hospital,https://www.google.com/maps/place/Eden+Critical+Care+Hospital/data=!4m7!3m6!1s0x390fed0560b331ab:0xbb6e23b29a167746!8m2!3d30.7091127!4d76.8026998!16s%2Fg%2F1z44bd8qh!19sChIJqzGzYAXtDzkRRncWmrIjbrs,http://www.edenhospital.net/,Data found,,3.8,706,General hospital,"116, next to Eden Hospital, opp. Hometel Hotel, Industrial Area Phase 2, Industrial Area Phase I, Chandigarh, 160002, India",+91 172 412 3400,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",edenchd@gmail.com,+91 – 172 – 4123456
Government Multi Specialty Hospital,https://www.google.com/maps/place/Government+Multi+Specialty+Hospital/data=!4m7!3m6!1s0x390fed9e6aaaaaab:0xb69ac75e920cdba5!8m2!3d30.7515025!4d76.780409!16s%2Fg%2F11dftf21tf!19sChIJq6qqap7tDzkRpdsMkl7HmrY,,No website found,,3.4,441,Government hospital,"Madhya Marg, Sector 16 A, Sector 16, Chandigarh, 160015, India",+91 172 275 2042,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
DHARAM HOSPITAL,https://www.google.com/maps/place/DHARAM+HOSPITAL/data=!4m7!3m6!1s0x390fed9b3fffffff:0xe0e216643c1ac722!8m2!3d30.7492297!4d76.7740115!16s%2Fg%2F1vrq80k5!19sChIJ____P5vtDzkRIscaPGQW4uA,https://www.dharamhospital.in/,Data found,,3.9,159,Private hospital,"#2040 sector 15 c, Chandigarh 160015, India",+91 95013 71164,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com,91 95013 71164
ESIC Model Hospital,https://www.google.com/maps/place/ESIC+Model+Hospital/data=!4m7!3m6!1s0x390feb7d07c8944b:0xb363cbb60125275e!8m2!3d30.6966643!4d76.7880563!16s%2Fg%2F1tfc0dmw!19sChIJS5TIB33rDzkRXiclAbbLY7M,,No website found,,2.6,134,Hospital,"Industrial Area Phase, 2, Ram Darbar, Chandigarh, 160002, India",+91 172 265 0292,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
Cloudnine Hospital - Chandigarh,https://www.google.com/maps/place/Cloudnine+Hospital+-+Chandigarh/data=!4m7!3m6!1s0x390fecf305a2d351:0x46dbd6e5ebd44ac4!8m2!3d30.7000956!4d76.7877206!16s%2Fg%2F11df0q67ft!19sChIJUdOiBfPsDzkRxErU6-XW20Y,https://www.cloudninecare.com/centre/industrial-area-phase-ii?utm_source=gmb&utm_medium=organic&utm_campaign=cloudnine+hospital+industrial-area-phase-ii-gmb_website&utm_content=website_button,Data found,,4.7,2748,Maternity hospital,"Plot No: 48, 2, Industrial Area Phase II, Chandigarh, 160002, India",+91 99728 99728,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",info@cloudninecare.com,+91 99728 99728
Hospital,https://www.google.com/maps/place/Hospital/data=!4m7!3m6!1s0x390fee97717eccab:0x7d39d606bef34734!8m2!3d30.7324529!4d76.771901!16s%2Fg%2F119vkh727!19sChIJq8x-cZfuDzkRNEfzvgbWOX0,,No website found,,3.6,10,Hospital,"PQJC+XQJ, Sector 22D, Sector 22, Chandigarh, 160062, India",,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
