Name,Website Link,Address,Contact Number,Email
Park Hospital,https://parkhospital.in/,"Bus Depot, Meera Enclave Outer Ring Road Near Kashopur, New Chaukhandi, Vishnu Garden, New Delhi, Delhi 110018, India","+91 11 4532 3232, 1800-102-6767",info@parkhospital.in
Indraprastha Apollo Hospital,https://delhi.apollohospitals.com/,"Indraprastha Apollo Hospital, NH-19, New Delhi, Delhi 110076, India","+91 11 7179 1090, 011-71791090",infodelhi@apollohospitals.com
Kailash Deepak Hospital,https://www.kailashdeepakhospital.com/?utm_source=google&utm_medium=gmb&utm_campaign=kailash-deepak-hospital-gmb,"5, Vikas Marg, Institutional Area, II, New Delhi, Delhi, 110092, India","+91 11 3535 3535, 011-35353535",
Saroj Super Speciality Hospital,http://www.sarojhospital.com/,"Bhagawan Mahavir Marg, Near Madhuban Chowk, Block A, Sector 14, Rohini, New Delhi, Delhi 110085, India","+91 11 4790 3333, ",
"Dharamshila Narayana Superspeciality Hospital, Delhi",https://www.narayanahealth.org/hospitals/delhi/dharamshila-narayana-superspeciality-hospital?utm_source=dharamshila-narayana-superspeciality-hospital&utm_medium=GMB_Hospital&utm_campaign=Organic,"Metro Station, Dharamshila marg, Vasundhara Enclave Near Ashok Nagar, Vasundhara Enclave, New Delhi, Delhi 110096, India","+91 80675 06880, ",
Primus Super Speciality Hospital,https://www.primushospital.com/,"2, Chandragupta Marg, Opp Russian Embassy, Chanakyapuri, New Delhi, Delhi 110021, India","+91 11 6620 6630, +91 8700087000",info@primushospital.com
"Fortis Hospital, Shalimar Bagh",https://www.fortishealthcare.com/location/fortis-hospital-shalimar-bagh-new-delhi?utm_source=google-gmb&utm_medium=gmb-seo-url&utm_campaign=FHL-gmb,"AA-299, Shaheed Udham Singh Marg, AA Block, Poorbi Shalimar Bag, Shalimar Bagh, Delhi, 110088, India","+91 84483 39575, 1725096001",secretarial@fortishealthcare.com
Maharaja Agrasen Hospital,http://www.mahdelhi.org/,"Maharaja Agrasen Hospital 1, Jain Muni Guru Ramkrishan Marg, Near Metro Station Jain Muni Guru Ramkrishan Marg, Block C, Shivaji Park, Punjabi Bagh, Delhi, 110026, India","+91 11 4077 7777, -40777697",info@mahdelhi.org
Max Super Speciality Hospital,https://www.maxhealthcare.in/hospital-network/max-super-speciality-hospital-patparganj?utm_source=D-Organic&utm_medium=gmb&utm_campaign=patparganj-profile,"108A, IP Ext, I.P.Extension, Patparganj, Delhi, 110092, India","+91 93550 20370, +91 92688 80303",digitalquery@maxhealthcare.com
Satyabhama Hospital Private Limited,http://satyabhamahospital.in/,"RZ-10, Naresh Park, Najafgarh Road, Nangloi, Near Water Tank, New Delhi, Delhi 110041, India","+91 97117 33339, 919711733339",satyabhamahospital@gmail.com
Batra Hospital & Medical Research Centre,http://www.batrahospitaldelhi.org/,"1, Mehrauli - Badarpur Rd, near Saket Metro Station, Tughlakabad Institutional Area, Vayusenabad, New Delhi, Delhi 110062, India","+91 11 2995 8747, 85957 78376",appointmentbhmrc@yahoo.com
Santom Hospital,http://www.santomhospital.in/,"D-5-6, Outer Ring Rd, Prashant Vihar, Sector 14, Rohini, New Delhi, Delhi, 110085, India","+91 11 2756 1024, 011-27561024",santom.hospital@yahoo.com
Khetarpal Hospital,https://www.khetarpalhospital.com/,"F-95, Bali Nagar Metro Station, Main, Najafgarh Rd, near Ramesh Nagar, New Delhi, Delhi 110015, India","+91 11 4551 5100, -45515020",info@khetarpalhospital.com
NKS Super Speciality Hospital,http://www.nkshospital.com/,"219, 220, Sanjay Nagar, Gulabi Bagh, Delhi, 110007, India","+91 11 3506 6666, 011-35 066 666",hr@nkshospital.com
Manipal Hospital Dwarka,https://www.manipalhospitals.com/delhi/?utm_source=gmb,"Manipal Hospital, Sector 6 Dwarka, Dwarka, Delhi, 110075, India","+91 11 4967 4967, 011 4967 4967",info@manipalhospitals.com
SCI International Hospital,https://scihospital.com/?utm_source=website&utm_medium=gmb&utm_campaign=local&utm_term=Surgical%20Hospital%20in%20delhi,"4, Greater Kailash-1, M Block, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048, India","+91 99994 46622, 011-41041131",
Holy Family Hospital,http://hfhdelhi.org/,"H76G+P2H, Okhla Rd, Okhla, New Delhi, Delhi 110025, India","+91 11 2684 5900, +91 97168 32485, 971683211",administration@hfhdelhi.org
BLK-Max Super Speciality Hospital,https://www.blkmaxhospital.com/,"Pusa Rd, Radha Soami Satsang, Rajendra Place, New Delhi, Delhi, 110005, India",", -30402960",
Aashlok Hospital,https://aashlokhospital.com/,"25 A, Block A 1, Block AB, Safdarjung Enclave, New Delhi, Delhi 110029, India","+91 11 4616 5900, 9717836049",info@aashlokhospital.com
Amarleela Hospital,http://amarleela.in/,"B-1/6, Main Najafgarh Rd, Block B1, Janakpuri, New Delhi, Delhi, 110058, India","+91 11 4566 3333, +91-11-4566 3333",care@amarleela.in
"CK Birla Hospital, Delhi",https://www.ckbhospital.com/delhi/?utm_source=google&utm_medium=ckbhdelhi&utm_campaign=gmb_profile,"CK Birla Hospital, 57/41, West Punjabi Bagh, Punjabi Bagh, New Delhi, Delhi, 110026, India","+91 92891 29487, +91 124 4570112",reachus@ckbhospital.com
Jeewan Mala Hospital - Best Hospital in Karol Bagh Delhi,http://www.jmh.in/,"67/1 New Rohtak Road, Guru Gobind Singh Marg, Karol Bagh, New Delhi, Delhi 110005, India","+91 11 4777 4151, 011-47774151, 47774100",info@jmh.in
Sukhmani Hospital,https://www.sukhmanihospital.in/,"126A, opposite Rajasthan Vidyut Niwas, B-7, Block B 7, Arjun Nagar, Safdarjung Enclave, New Delhi, Delhi 110029, India","+91 11 4351 9909, 011 2619 4000",sukhmanihospital@gmail.com
Karuna Hospital (24x7 Hours Open),http://karunahospital.in/,"D-62, Pocket E, Dilshad Colony New Simapuri, Dilshad Garden, Delhi, 110095, India","+91 98737 54555, 011-22354243",
Kalra Hospitals,http://kalrahospitals.org/,"Tulsi Dass Kalra Marg, Kirti Nagar, New Delhi, Delhi 110015, India","+91 11 4500 5700, ",
Mata Roop Rani Maggo Hospital and IVF Centre,http://maggohospital.com/,"Metro pillar no, 709, Om Vihar Phase 1 Rd, Phase 1A, Om Vihar, Uttam Nagar, Delhi, 110059, India","+91 95550 59059, -9582",info@maggohospital.com
Apollo Spectra Hospitals,https://www.apollospectra.com/delhi/karol-bagh/our-hospitals/best-hospital-in-karol-bagh?utm_source=google&utm_medium=GoogleMap&utm_campaign=GoogleMapKarolbagh,"Metro Pillar No. 77, Block No. 34, Plot No. 3, Pusa Rd, opposite Bal Bharati Public School, Block 18 A, WEA, Karol Bagh, New Delhi, Delhi, 110005, India","+91 84484 40991, 1-860-500-2244",
"Sant Parmanand Hospital, Civil Lines, Delhi",https://www.sphdelhi.org/,"18, Sham Nath Marg, Civil Lines, New Delhi, Delhi, 110054, India",", ",contact@sphdelhi.org
"Fortis Flt Lt Rajan Dhall Hospital, Vasant Kunj, New Delhi",https://www.fortishealthcare.com/location/fortis-flt-lt-rajan-dhall-hospital-vasant-kunj?utm_source=google-gmb&utm_medium=gmb-seo-url&utm_campaign=FHL-gmb,"Fortis Flt. Lt. Rajan Dhall Hospital, Aruna Asaf Ali Marg, Pocket 1, Sector B, Vasant Kunj, New Delhi, Delhi 110070, India","+91 97110 90119, 1725096001",secretarial@fortishealthcare.com
Aakash Healthcare Super Speciality Hospital,https://www.aakashhealthcare.com/,"Hospital Plot, Road No. 201, Dwarka Sector-3, Dwarka, New Delhi, Delhi, 110075, India",", +91 8800015905",
Lok Nayak Hospital,https://lnjp.delhi.gov.in/,"metro Station Central, Jawaharlal Nehru Marg, near Delhi Gate, New Delhi, Delhi 110002, India","+91 11 2323 2400, 011-23236000",
